Description,In / Out of Target Quadrant,In / Out of Top startups by growth Dynamic set,Industry,Name,Year Founded,2015 Expenses,2015 Growth %,2015 Revenue
"A commercial barter company that operates an online network for businesses featuring more than 36,000 services and items that members can trade using online credits.",In,Out,Business Products & Services,Medunoway,2009,1454546.35,390.00%,9849066.98
"A full-service architecture firm that specializes in tenant finish and ground-up projects for the office, retail, health care, industrial, and energy industries.",In,Out,Construction,Tampware,2011,2910756.2,429.00%,9785981.6
Provides clients with a streamlined purchasing process for IT hardware. Avanti offers a product line of more than 4 million parts.,Out,Out,Computer Hardware,Tindex,2011,4909604.34,427.00%,12159972.52
"Provides software focused on the areas of medical coding, compliance, and education with the goal of increasing revenue for its health-care-providing customers by making sure all services are reimbursed and any audits are understood and implemented properly.",Out,Out,Health,Dalthow,2000,5731820.14,418.00%,10800718.18
A home warranty is a service contract that covers the repair or replacement of many of the most frequently occurring breakdowns of home system components and appliances.,Out,Out,Insurance,Scotphase,2009,6229960.44,239.00%,8069233.11
Provides global manpower support for a broad spectrum of technical and tactical service requirements for the Department of Defense and other US government agencies.,Out,Out,Government Services,Ranktech,2010,6439383.96,408.00%,10515556.67
"Develops safe driving systems to improve driver behavior with real-time mentoring and alerts. Its software is marketed to business fleets, racing organizations and parents with teen drivers.",Out,In,Telecommunications,Gogotax,2010,6877747.31,593.00%,5653904.85
Develops SaaS online training for health care and human services providers including senior care and corrections workers and intellectual and developmental disabilities organizations.,In,Out,Software,Unadex,2013,2388520.65,542.00%,6231275.38
"A staffing and technology firm that offers talent placement, payroll outsourcing, vendor management, managed services for system integration projects and project management.",In,Out,Human Resources,Haycorporation,2011,394322.96,175.00%,10212233.26
"A homebuilder that constructs traditional homes, cottages, townhomes, and condos.",In,Out,Construction,Groovecane,2011,3560343.36,404.00%,6811167.82
"A B2B appointment setting, lead generation, and sales outsourcer for midmarket and enterprise-level organizations.",In,Out,Business Products & Services,Funrantex,2012,963095.57,229.00%,10609755.55
Provides enterprise application licensing and a range of IT consulting services to mid-sized businesses.,In,Out,Software,Tambase,2010,2394135.28,427.00%,10141817.38
Provides IT consulting and system integration services to organizations with challenging technology initiatives.,In,Out,IT Services,Georedfase,2008,810126.13,487.00%,8165222.36
"Provides a suite of customer loyalty, sales, and marketing software products for business of all kinds and sizes. Its core offerings are Rider Rewards and the Let's Buy Local mobile app.",Out,Out,Software,Konktraxbam,2011,4682545.07,406.00%,12504779.59
"Offers technology consulting, IT staffing, Web design, custom apps, and data services for clients ranging from small local businesses to major corporations.",In,Out,IT Services,Stanquote,2011,374815.55,430.00%,10421179.61
"Specializes in the placement of physical, occupational, and speech therapists to schools, hospitals, clinics, skilled nursing facilities, home health clients, and teletherapy services.",Out,Out,Health,Lexiholding,2011,4917351.44,495.00%,6595798.2
"Operates a healthy-eating restaurant chain that specializes in custom-made salads, healthy and hearty soups, and a wide range of sandwiches. The Big Salad connects with customers in a light and encouraging way through its human and often funny social media initiatives.",In,Out,Food & Beverage,Incon,2010,1149020.18,361.00%,12433990.84
Designs plans for educational institutions to reach their campus sustainability and energy management goals.,In,Out,Engineering,Inconduo,2012,714458.56,298.00%,8822676.62
"An enterprise consulting services provider specializing in services that automate IT management and workflow across the desktop, datacenter, and cloud.",In,Out,IT Services,Mediahex,2005,3685640.13,460.00%,9772570.02
"Provides technology, service and and a competitive (wholesale) price to merchants accepting MasterCard, Visa, Discover, and American Express as forms of payment.",In,Out,Financial Services,Triojob,2011,667051.04,287.00%,7403632.88
"Provides affordable and comprehensive home warranty plans for homeowners in Arizona, Idaho, Nevada, Oregon, Texas, Utah and soon nationwide.",In,In,Insurance,Quadice,2007,1693553.34,620.00%,5627074.1
"Buys unused gift cards from consumers for up to 90% of the cards' value, then resells them online for less than face value.",In,Out,Consumer Products & Services,Sanfan,2010,3971036.33,520.00%,12127884.73
"Provides valued truckload and LTL brokered freight services with a focus on transparency, technology and customer service.",In,Out,Logistics & Transportation,D-Is,2010,2857915.66,334.00%,8374282.55
Offers full-service real estate brokerage and property management services.,In,Out,Real Estate,Latfan,2011,1851054.22,417.00%,8396546.01
A consulting firm focused exclusively on improving business-to-business sales and marketing effectiveness.,In,Out,Business Products & Services,Ining,2012,1810515.81,441.00%,11022415.11
A global private equity and venture capital data provider that offers a technology platform on a subscription basis to help private market participants make informed business decisions.,In,Out,Financial Services,D-Zoocare,2010,4445885.48,557.00%,7153439.82
"Designs and manufactures state-of-the-art farm management tools and Web services that enable farmers to better manage their activities and resources. Its system integrates data from many sources in order to forecast best seed selections, yield and time and locations to sell grains at optimal value.",In,Out,Engineering,O-Dax,2004,3666990,344.00%,12919390.75
"Sells subscriptions of EasyBib to schools and colleges, along with an online learning platform that teaches and assesses research skills called ResearchReady.",In,Out,Education,Solocone,2012,4501132.98,343.00%,12658909.94
"Sells retail and wholesale golf carts to consumers and dealers throughout the United States. The golf cart"" market has expanded to include racetracks",In,Out,Retail,Zun-Trax,2013,4437654.7,255.00%,7732190.12
"Builds and remodels maintenance facilities, campus centers, schools, showrooms, and other commercial and public projects.",Out,In,Construction,Biotain,2012,4781279.65,591.00%,11642542.58
"Offers project management and engineering support services in the design, development and manufacture of technological products. IEDS specializes in serving the aerospace, telecom and military industrial communities.",In,Out,Engineering,Icezap,2012,3361789.98,321.00%,9235777.03
Connects buyers and sellers in 196 countries worldwide by enabling merchants to quickly and securely accept payments online.,In,Out,Financial Services,Newjofix,2010,3415311.67,519.00%,10339863.42
Sells commercial and residential real properties in Florida.,Out,Out,Real Estate,Opetechno,2012,5885438.85,534.00%,9898287.81
"Specializes in the design of circuits, high-speed digitizers, and systems for telecommunications applications.",In,Out,Telecommunications,Zathline,2010,4398322.8,335.00%,9738857.5
Operates a network of self-service health kiosks in retail pharmacies where consumers can test their vision and blood pressure as well as receive weight management and health risk assessment services.,Out,Out,Health,Ozer-Dox,2013,4759243.36,395.00%,9621470.85
"Uses healthcare data, predictive analytics and experts to improve wellness and quality, decrease costs and missed opportunities and drive ROI and sustainability.",Out,Out,Health,Iscom,2013,5221158.42,353.00%,8027657.62
"Sells a theft-recovery device, SkyLINK, that uses GPS technology to track stolen vehicles in real-time for quicker recovery.",Out,Out,Security,Freshtechno,2011,6075481.86,416.00%,10603211.16
"Provides mobile app strategy, design and development for businesses and organizations. Specializes in app design for major mobile platforms such as Android, iOs and Windows Mobile.",In,Out,Software,Istone,2011,461975.12,477.00%,5424720.25
"Manufactures healthful, natural dog treats and food supplements.",In,Out,Food & Beverage,Domtam,2012,821994.15,508.00%,10795732.71
A national provider of management consulting and information technology services to the healthcare industry.,In,Out,Health,Ganzgreen,2010,4602001.84,356.00%,6598854.12
"Offers versatile directional drilling, electrical, or fiber optic project construction services. The first directional drilling contractor in Maine, its extensive growth comes from repeat business from happy customers.",Out,Out,Construction,Zamhouse,2009,6561021.32,339.00%,7543695.42
"A carpentry firm that specializes in finish carpentry, architectural millwork, retail furniture, and fixtures for hospitality, retail, and high-end residential and commercial markets.",In,Out,Construction,Openjocon,2013,4273206.77,362.00%,11374342.89
"Provides a comprehensive line of rapid immunodiagnostic test products for clinical, consumer, and workplace applications.",Out,Out,Health,Trisity,2012,6344371.97,184.00%,6918289.62
"Provides caring, health-oriented dentistry and places a strong emphasis on getting to know each patient, comfortable dentistry, and using only the most advanced materials and procedures available.",Out,Out,Health,Planetice,2012,4782077.44,261.00%,10757723.78
"A supply chain systems implementation and consulting firm focused on helping companies solve their distribution, fulfillment, and transportation challenges.",Out,Out,Logistics & Transportation,Canunoice,2012,4814151.66,375.00%,6978994.67
"Provides construction services in southern California including reconstruction services, heating & air installation service and janitorial & facilities services.",In,Out,Construction,Villadox,2012,1097352.73,554.00%,8651649.3
"A factory-direct reseller offering outdoor equipment such as storage sheds, barns and carports.",Out,Out,Retail,Alphacane,2013,5873665.81,495.00%,5903763.39
"Supports the U.S. Special Operations Command, the departments of Homeland Security and State, and other government organizations with security, training, safety, logistics and consulting services.",Out,Out,Government Services,Rankcone,2011,8837188.08,507.00%,6036943.64
"Provides professional services such as business management consulting, IT lifecycle support and systems engineering services for the federal government.",In,Out,Government Services,Iceice,2010,455581.1,352.00%,6352466.04
"Sells aftermarket automotive parts and accessories online, specializing in Camaro and other late-model performance vehicles.",Out,Out,Consumer Products & Services,Hex-Ity,2011,5912242.05,439.00%,11250184.22
Provides medical alert services to senior citizens nationwide.,Out,Out,Health,Fixquadtech,2012,4968473.88,375.00%,8299901.38
"Consults clients about business intelligence, enterprise resource planning, Internet technology and infrastructure development.",In,Out,IT Services,Zonhigh,2010,4498098.99,385.00%,7723684.15
A commercial electrical contractor that specializes in renewable energy and commercial and industrial electric design and installation.,Out,Out,Energy,Mathcorporation,2010,5507260.98,406.00%,2663591
"Provides checking, savings & money markets, business loans, SBA loan programs, portfolio residential mortgages, and association and treasury services.",Out,Out,Financial Services,Toughway,2010,5291056.1,357.00%,11442135.53
"Offers project and portfolio management, IT governance and compliance and software quality management.",Out,Out,IT Services,Bluetexon,2010,8350912.69,395.00%,7685910.31
"Offers a credit repair program designed to help consumers get negative, inaccurate, outdated, and erroneous items removed from their credit reports.",In,Out,Financial Services,Nimvivafind,2009,4632246.8,334.00%,9605854.82
"A no-fee, direct mortgage lender offering low rates on home loans such as FHA, VA and USDA loans. Its clients save an average of $3,000 at closing.",Out,Out,Financial Services,Eremenko,2012,5162905.07,515.00%,9445632.81
Develops online systems that give health insurance providers flexibility and control over document management and delivery of communications.,In,Out,Business Products & Services,Keycone,2000,4213650.34,526.00%,8951130.88
"Offers services in the areas of emerging technologies, information technology, and intelligence and cyber security to government agencies, law enforcement, and clients in health care and education.",In,In,IT Services,Hot-Electrics,2006,1412141.65,595.00%,12214067.92
"Provides Web experience management, application development and cloud enablement services to businesses across the globe.",In,Out,Software,Namdom,2013,2544306.63,251.00%,9362410.7
Designs and delivers a small footprint NFC multi-chip module with an embedded security chip that can interface with all smartphone platforms.,In,Out,Telecommunications,Betais,2010,4304314.95,454.00%,7517506.5
Provides analytics software to track all of a website's SEO and inbound marketing efforts on one platform.,Out,Out,Software,Tempbam,2013,6089129.66,353.00%,9980590.79
"Provides IT staffing and managed services such as application development, middleware, mobile app development, business intelligence, and enterprise resource protocol services to retail, financial, insurance, and health care clients.",Out,Out,IT Services,Goodhouse,2009,5667424.69,388.00%,9833219.75
Publishes specialty magazines and newsletters serving exclusive communities across the country. It works with homeowner's associations and small municipalities.,In,Out,Media,Trisbam,2003,1155785.98,256.00%,7201917.94
Provides marketing strategy and related IT services to Fortune 1000 and large middle-market clients through partnership with Salesforce.,Out,Out,Advertising & Marketing,Technoline,2009,5346509.16,384.00%,9069261.62
Provides online marketing services including web design and development as well as digital marketing strategic consulting.,Out,Out,Advertising & Marketing,Biokaycane,2010,5568390.51,450.00%,9802438.27
"Provides governmental, institutional, industrial and commercial clients with ways to increase energy efficiency in existing structures.",In,Out,Energy,Truelane,2013,4171805.47,402.00%,6071997.25
A human capital management corporation that offers customized recruitment services to businesses.,Out,Out,Human Resources,Zimdex,2011,2054338.02,553.00%,4475874.04
"An ad technology and media company that facilitates the creation, demand and supply of digital advertising for more than 1,500 Web and mobile publishers and reaches more than 150 million unique visitors per month.",Out,Out,Advertising & Marketing,Remedia,2008,5578394.62,295.00%,8687894.78
"A semi-custom production home builder that finished construction of 180 homes in 2013 and started 215. It focuses on energy efficiency, healthier indoor air quality, and sustainable building practices.",Out,Out,Construction,Sumzoomit,2010,7703651.95,369.00%,8429576.89
"An IT services provider to federal government agencies, including the Departments of Homeland Security, Defense and the Navy.",Out,Out,Government Services,Goodtex,2011,8860686.06,354.00%,13118996.24
"A platform-technology company that provides devices, diagnostics, infection control and imaging for specialists treating a wide range of gastrointestinal diseases. It has over 2,500 customers and distribution in 34 distribution partners worldwide.",Out,Out,Health,Ranquote,2013,7206339.82,508.00%,7147362.91
Provides software that makes it possible to easily deploy application delivery technology on-demand. Its Loadmaster family of products are used with many well-known business applications.,In,Out,Software,Zathtone,2009,4069680.82,292.00%,9953758.93
"Specializes in general contracting, project oversight, construction management, and design/build for commercial, heavy civil, and municipal jobs.",In,Out,Construction,Vivacode,2009,4117102.43,445.00%,9410642.44
"Offers strategies, seminars, online programs and personalized business coaching to help women business owners increase their profits through marketing, mindset adjustment and strategic growth techniques.",Out,Out,Business Products & Services,Canesailfax,2011,5364670.32,441.00%,7806395.34
"Owns and operates an online store specializing in college dorm room supplies ranging from Twin XL bedding and comforters, to trunks, mini-futons, and shower caddies.",In,Out,Retail,Dongcom,2002,2772159.12,386.00%,12477085.41
"Offers seminars, coaching, classes, online training, home-study courses, blogs and newsletters that teach how to earn money in real estate investment and Internet marketing.",Out,Out,Education,Hatlane,2011,6934957.46,306.00%,8738359.78
"Creates marketing software designed to replace intrusive marketing with relevant blog posts, website content and emails. Over 10,000 companies in 65 countries use HubSpot's software.",In,Out,Software,Hexhouse,2006,1885809.59,258.00%,11221740.03
"Provides software designed to crunch large sets of data and reveal analytics, insights, and patterns to business owners and strategists.",In,Out,Software,Jobzencane,2011,2379902.98,368.00%,8482410.82
Delivers software-driven cloud networking services for large data center and high-performance computing environments.,In,Out,Software,Sailtech,2012,4474646.71,382.00%,5543509.14
"Sells packaging and shipping supplies, such as tape, cardboard boxes and bubble mailers, as well as electronics accessories under its Fenzer line.",Out,Out,Retail,Vilacan,1999,5973654.15,485.00%,10916974.82
A recognized leader in pharmacogenetic testing and personalized medication management system and software with more than 25 years of DNA testing experience.,Out,Out,Health,Stattechno,2014,7082935.87,403.00%,6619705.23
"A full-service equipment dealership that rents, sells, and services new and used heavy construction equipment.",Out,Out,Construction,Conin,2009,6042544.62,326.00%,9903489.35
Sells photovoltaic solar panels and related components and provides design and installation support for residents and businesses.,Out,Out,Energy,Vaiaelectronics,2014,6349124.52,392.00%,9055902.88
A residential and commercial real estate brokerage composed of over 900 agents that offer buyers and sellers a full range of residential and commercial real estate services.,In,Out,Real Estate,Donelectronics,2014,2313289.24,347.00%,8109638.25
"Offers data management, business intelligence, custom software design and development, and technology strategy services to federal government agencies, major corporations, and small to midsize companies.",In,Out,IT Services,Rezumfind,2000,3101951.55,557.00%,9024010.11
Operates seven mobile food truck and two brick and mortar units in New York City that serve Belgian Waffles,In,Out,Food & Beverage,Techitom,2010,2667573.13,337.00%,13245600.65
"A ticket distribution partner for entertainment venues, professional sports teams, university athletic departments, concert promoters, and event producers.",In,Out,Consumer Products & Services,Bamtexon,2013,4253254.3,321.00%,12577935.67
An IT staffing and placement company with three locations.,In,Out,IT Services,Xx--Fase,2012,3944876.72,437.00%,9048980.94
"A custom manufacturer of furniture that collaborates with clients through the engineering, prototyping, fabrication, and installation phases.",In,Out,Manufacturing,Spandom,2010,3885105.74,460.00%,9127162.59
"A national mission critical service provider that maintains and repairs the air conditioning, power supply and fire suppression systems of critical telecom, data center and health care facilities.",In,Out,Business Products & Services,Zimstrip,2014,3106150.34,213.00%,5908577.15
"Offers enterprise colocation, dedicated servers, virtualization, cloud hosting, and other data center services. 90% of revenue comes from our 4 main data center locations of Buffalo, Chicago, Dallas, and Los Angeles.",In,Out,IT Services,Stiming,2014,594697.8,463.00%,4779076.32
"Provides criminal records to employment screening, tenant screening, and risk mitigation providers nationwide.",Out,Out,Business Products & Services,Tripplehow,2012,5398171.54,374.00%,8992759.41
"Offers mortgage loans through VA, FHA, and conventional loans in all fifty states, while protecting consumer privacy and exceeding regulatory compliance standards imposed by regulatory agencies.",Out,Out,Financial Services,E-Can,2013,4958881.02,459.00%,6218086.33
Provides flexible staffing in the skilled construction trades to contractors in the Southeast as well as on-site OSHA and other construction safety services.,In,Out,Human Resources,Ganjadox,2012,3615766.39,364.00%,9834266.38
"Designs and installs a wide variety of storage and material handling services including medication carts, pharmacy fixtures and mobile shelving.",In,Out,Business Products & Services,Volhouse,2010,3627535.85,538.00%,9359151.16
Provides investment consulting services to the retirement plan industry.,In,Out,Financial Services,Tonjob,2010,4364774.96,318.00%,6475261.38
"A mortgage lender that underwrites and services agency- and government-backed mortgage assets, offering numerous Fannie Mae, Freddie Mac, FHA, VA, and USDA residential mortgage products.",In,Out,Financial Services,Flextone,2010,4494384.34,469.00%,8335149.24
Provides performance marketing services such as performance-based advertising and online marketing analytics to customers around the world.,Out,Out,Advertising & Marketing,Hatelectronics,2011,6303001.73,389.00%,9145449.94
"An intermodal trucking company that also has a third-party logistics business and serves steamships, railroads and beneficial cargo owners.",In,Out,Logistics & Transportation,Roundgreen,2003,2338662.55,297.00%,7002831.87
"Provides program management, business process re-engineering, software development and systems engineering services to Federal agencies.",In,Out,Government Services,Lineity,2006,1359224.25,535.00%,8621836.92
A pediatric home health services agency with a specialty in private duty nursing and skilled nursing visits for infants and children (ages birth through 20 years).,Out,Out,Health,Voyadexon,2010,6763554.39,387.00%,8913061.18
"Connects patients with quality physicians, hospitals and other health specialists and facilities. An online doctor selection site enables patients choose physicians and rate the ones they've visited.",In,Out,Health,Xn-Media,2012,3975968.19,330.00%,7863279.02
"Develops a platform for time and expense tracking that integrates with numerous types of accounting software and is used by staffing agencies, professional services businesses and organizations that need to comply with government regulations.",In,In,Software,Drilldrill,2010,2785798.89,560.00%,8800619.95
"Provides full-service construction, renovation, general contracting and professional engineering services for all levels of government as well as the private sector.",In,Out,Construction,Tristone,2013,3476281.12,467.00%,11755980.04
"Provides staffing and recruiting, outsourced payroll services, event staffing, customer service, and sales training.",In,Out,Human Resources,Goodmatlab,2013,3000547.97,465.00%,8388784.08
"Operates a free-membership website for consumers that helps them find the best rates and coverage on auto, home and life insurance.",In,Out,Insurance,Streetelectrics,2011,2890718.66,409.00%,7418921.81
"Enables live streaming event coverage, allowing anyone to broadcast live to the Web. LiveStream's clients include Facebook and the New York Times.",Out,Out,Media,Yeartechno,2012,6664374.09,340.00%,12883295.84
"Provides digital marketing and PR consulting services, combining public relations, social media, and SEO for a broad range of clients.",Out,Out,Advertising & Marketing,Spanquadin,2009,6501246.35,391.00%,10820182.98
